Subsidiary ID,SF Account ID,Netsuite Product Code,netsuiteId,Quantity,Price,Date
5,0011p00002dIhOMAA0,281,,43,0.46,01/11/2022
5,0011p00002dIhOMAA0,279,,93,0.64,01/11/2022
5,0012400000kg1OSAAY,281,,398,0.28,01/11/2022
5,0012400000kg1OSAAY,282,,82,0.28,01/11/2022
5,0012400000kg1OSAAY,1889,,270,0.11,01/11/2022
5,0012400000kg1OSAAY,279,,340,0.49,01/11/2022
9,0011p00002cGNnFAAW,279,,14,0.6,01/11/2022
9,0011p00002cGNnFAAW,281,,14,0.42,01/11/2022
5,0011p00002NSfJzAAL,279,,42,2.56,01/11/2022
5,0011p00002NSfJzAAL,281,,42,1.22,01/11/2022
5,0010800002peWSUAA2,3653,294,147,0.49,01/11/2022
5,0011p00002YGzqcAAD,281,,630,0.35,01/11/2022
5,0011p00002YGzqcAAD,279,,626,0.69,01/11/2022
5,00108000034xP8rAAE,279,,1,1.63,01/11/2022
5,00108000034xP8rAAE,281,,1,0.79,01/11/2022
5,0011p00002YHcyMAAT,291,,30,0.23,01/11/2022
5,0011p00002YHcyMAAT,279,,11,1.3,01/11/2022
5,0011p00002YHcyMAAT,281,,11,0.6,01/11/2022
6,0010800002tjH8qAAE,279,,6,1.3,01/11/2022
5,00108000030CKtFAAW,279,,5,1.43,01/11/2022
5,00108000030CKtFAAW,281,,5,0.74,01/11/2022
5,0011p00002Uonc3AAB,291,,6,0.42,01/11/2022
10,0011p00002DeaONAAZ,279,,7,40.7,01/11/2022
10,0011p00002DeaONAAZ,291,,311,18.5,01/11/2022
10,0011p00002DeaONAAZ,281,,7,29.6,01/11/2022
5,0011p000029M3EjAAK,279,,9,1.5,01/11/2022
5,0011p000029M3EjAAK,281,,9,1.0,01/11/2022
9,0011p00002gE8bfAAC,281,,46,0.4,01/11/2022
9,0011p00002gE8bfAAC,279,,46,0.92,01/11/2022
5,00108000031YF91AAG,282,,4,1.06,01/11/2022
5,00108000031YF91AAG,279,,4,1.59,01/11/2022
5,0010800002wchi3AAA,279,,117,0.75,01/11/2022
15,0010800002oPQjiAAG,279,,9,0.7,01/11/2022
15,0010800002oPQjiAAG,281,,9,0.46,01/11/2022
5,001080000387nGaAAI,3012,,7,0.76,01/11/2022
5,001080000387nGaAAI,280,,7,0.56,01/11/2022
15,0010800002qs8q8AAA,282,,1,0.7,01/11/2022
15,0010800002qs8q8AAA,279,,1,0.8,01/11/2022
15,0011p00002gwzTIAAY,279,,316,0.5,01/11/2022
15,0011p00002gwzTIAAY,281,,317,0.4,01/11/2022
